中文名稱,花葉萬年青,英文名稱,spotted dieffenbachia,,,,,,,,,,
中文名稱,紫背萬年青,英文名稱,oyster plant,,,,,,,,,,
中文名稱,紫鴨跖草,英文名稱,purple heart,,,,,,,,,,
中文名稱,吊竹梅,英文名稱,inch plant,,,,,,,,,,
中文名稱,萬年青,英文名稱,lily of China,,,,,,,,,,
中文名稱,蜘蛛抱蛋,英文名稱,aspidistra,,,,,,,,,,
中文名稱,一葉蘭,英文名稱,aspidistra,,,,,,,,,,
中文名稱,文竹,英文名稱,asparagus fern,,,,,,,,,,
中文名稱,鳳尾蕨,英文名稱,table fern,,,,,,,,,,
中文名稱,腎蕨,英文名稱,sword fern,,,,,,,,,,
中文名稱,鐵線蕨,英文名稱,Venus's-hair-fern,,,,,,,,,,
中文名稱,鳥巢蕨,英文名稱,bird's-nest fern,,,,,,,,,,
中文名稱,波士頓蕨,英文名稱,Boston fern,,,,,,,,,,
中文名稱,鹿角蕨,英文名稱,staghorn fern,,,,,,,,,,
中文名稱,虎尾蘭,英文名稱,snake plant,,,,,,,,,,
中文名稱,龍舌蘭,英文名稱,agave,,,,,,,,,,
中文名稱,酒瓶蘭,英文名稱,elephant-foot tree,,,,,,,,,,
中文名稱,六出花,英文名稱,alstroemeria,peruvian lily,,,,,,,,,
中文名稱,地湧金蓮,英文名稱,hairy fruit musella,,,,,,,,,,
中文名稱,天堂鳥,英文名稱,queen's bird-of-paradise flower,學名,Strelitzia reginae,科名,鶴望蘭科,Strelitziaceae,鶴望蘭屬,Strelitzia
中文名稱,天堂鳥,英文名稱,queen's bird-of-paradise flower,,,,,,,,,,
中文名稱,艷山姜,英文名稱,shell flower,,,,,,,,,,
中文名稱,孔雀肖竹芋,英文名稱,peacock plant,,,,,,,,,,
中文名稱,花葉竹芋,英文名稱,bicolor arrowroot,,,,,,,,,,
中文名稱,冷水花,英文名稱,clear weed,,,,,,,,,,
中文名稱,錐花絲石竹,英文名稱,baby's-breath,,,,,,,,,,
中文名稱,王蓮,英文名稱,royal water lily,,,,,,,,,,
中文名稱,荷花,英文名稱,lotus,,,,,,,,,,
中文名稱,睡蓮,英文名稱,water lily,,,,,,,,,,
中文名稱,豬籠草,英文名稱,picher plant,,,,,,,,,,
中文名稱,瓶子草,英文名稱,picher plant,,,,,,,,,,
中文名稱,茅膏菜,英文名稱,sundew,,,,,,,,,,
中文名稱,燕子掌,英文名稱,baby jade,,,,,,,,,,
中文名稱,石蓮花,英文名稱,Mexican snowball,,,,,,,,,,
中文名稱,長壽花,英文名稱,winter pot kalanchoe,,,,,,,,,,
中文名稱,紅花酢漿草,英文名稱,oxalis,shamrock,sorrel,,,,,,,,
中文名稱,旱金蓮,英文名稱,garden nasturtium,,,,,,,,,,
中文名稱,四季秋海棠,英文名稱,florists flowering begonia,,,,,,,,,,
中文名稱,金琥,英文名稱,golden ball,,,,,,,,,,
中文名稱,草球,英文名稱,sea-wrchin cactus,,,,,,,,,,
中文名稱,曇花,英文名稱,queen of the night,,,,,,,,,,
中文名稱,令箭荷花,英文名稱,orchid cactus,,,,,,,,,,
中文名稱,緋牡丹,英文名稱,oriental moon,,,,,,,,,,
中文名稱,量天尺,英文名稱,night-blooming cereus,,,,,,,,,,
中文名稱,三棱箭,英文名稱,night-blooming cereus,,,,,,,,,,
中文名稱,蟹爪蘭,英文名稱,crab cactus,,,,,,,,,,
中文名稱,長春花,英文名稱,periwinkle,,,,,,,,,,
中文名稱,非洲紫羅蘭,英文名稱,Africa violet,,,,,,,,,,
中文名稱,金苞花,英文名稱,golden pachystachys,,,,,,,,,,
中文名稱,網紋草,英文名稱,silvernet plant,,,,,,,,,,
中文名稱,傘莎草,英文名稱,umbrella plant,,,,,,,,,,
中文名稱,花燭,英文名稱,flamingo plant,anthurium,,,,,,,,,
中文名稱,海芋,英文名稱,giant alocasia,,,,,,,,,,
中文名稱,鴨跖草,英文名稱,common dayflower,,,,,,,,,,
中文名稱,蘆薈,英文名稱,Chinese aloe,,,,,,,,,,
中文名稱,吊蘭,英文名稱,broadleaf bracket-plant,,,,,,,,,,
中文名稱,萱草,英文名稱,common orange daylily,,,,,,,,,,
中文名稱,風信子,英文名稱,common hyacinth,,,,,,,,,,
中文名稱,葡萄風信子,英文名稱,common grape hyacinth,,,,,,,,,,
中文名稱,郁金香,英文名稱,tulip,,,,,,,,,,
中文名稱,石蒜,英文名稱,shorttube lycoris,red spider lily,,,,,,,,,
中文名稱,水仙,英文名稱,Chinese narcissus,,,,,,,,,,
中文名稱,晚香玉,英文名稱,tuberose,,,,,,,,,,
中文名稱,射幹,英文名稱,blackberrylily,,,,,,,,,,
中文名稱,唐菖蒲,英文名稱,gladiolus,sword lily,,,,,,,,,
中文名稱,劍蘭,英文名稱,gladiolus,sword lily,,,,,,,,,
中文名稱,鳶尾,英文名稱,iris,,,,,,,,,,
中文名稱,雛菊,英文名稱,daisy,,,,,,,,,,
中文名稱,大麗花,英文名稱,dahlia,,,,,,,,,,
中文名稱,一串紅,英文名稱,scarlet sage,,,,,,,,,,
中文名稱,三色堇,英文名稱,pansy,,,,,,,,,,
中文名稱,君子蘭,英文名稱,scarlet kafirlily,,,,,,,,,,
中文名稱,美人蕉,英文名稱,common garden canna,Indian shot,,,,,,,,,
中文名稱,紫茉莉,英文名稱,common four o'clock,,,,,,,,,,
中文名稱,地雷花,英文名稱,common four o'clock,,,,,,,,,,
中文名稱,石竹,英文名稱,Chinese pink,,,,,,,,,,
中文名稱,香石竹,英文名稱,carnation,,,,,,,,,,
中文名稱,康乃馨,英文名稱,carnation,,,,,,,,,,
中文名稱,耬斗菜,英文名稱,columbine,,,,,,,,,,
中文名稱,鐵線蓮,英文名稱,clematis,,,,,,,,,,
中文名稱,芍藥,英文名稱,herbaceous peony,Chinese peony,,,,,,,,,
中文名稱,牡丹,英文名稱,peony,,,,,,,,,,
中文名稱,白頭翁,英文名稱,pulsatilla,windflower,,,,,,,,,
中文名稱,花毛茛,英文名稱,persian buttercup,crowfoot,,,,,,,,,
中文名稱,虞美人,英文名稱,corn poppy,,,,,,,,,,
中文名稱,荷包牡丹,英文名稱,bleeding heart,,,,,,,,,,
中文名稱,紫羅蘭,英文名稱,violet,,,,,,,,,,
中文名稱,天竺葵,英文名稱,pelargonium,,,,,,,,,,
中文名稱,珠蘭,英文名稱,chloranthus,,,,,,,,,,
中文名稱,球根秋海棠,英文名稱,tuberous begonia,,,,,,,,,,
中文名稱,報春花,英文名稱,primrose,,,,,,,,,,
中文名稱,勿忘草,英文名稱,forget-me-not,,,,,,,,,,
中文名稱,補血草,英文名稱,sea lavender,statice,,,,,,,,,
中文名稱,勿忘我,英文名稱,sea lavender,statice,,,,,,,,,
中文名稱,留蘭香,英文名稱,spearmint,,,,,,,,,,
中文名稱,矮牽牛,英文名稱,petunia,,,,,,,,,,
中文名稱,薄荷,英文名稱,mint,,,,,,,,,,
中文名稱,鼠尾草,英文名稱,sage,,,,,,,,,,
中文名稱,迷迭香,英文名稱,rosemary,,,,,,,,,,
中文名稱,桔梗,英文名稱,balloonflower,,,,,,,,,,
中文名稱,非洲菊,英文名稱,transvaal daisy,gerbera,,,,,,,,,
中文名稱,扶郎花,英文名稱,transvaal daisy,gerbera,,,,,,,,,
中文名稱,紫鵝絨,英文名稱,java velvetplant,,,,,,,,,,
中文名稱,百日草,英文名稱,youth-and-old-age,zinnia,,,,,,,,,
中文名稱,馬蹄蓮,英文名稱,calla lily,,,,,,,,,,
中文名稱,香豌豆,英文名稱,sweet-pea,,,,,,,,,,
中文名稱,彩葉草,英文名稱,common graden coleus,,,,,,,,,,
中文名稱,貝殼花,英文名稱,molucca balm,,,,,,,,,,
中文名稱,蒲包花,英文名稱,slipper wort,,,,,,,,,,
中文名稱,瓜葉菊,英文名稱,florists cineraria,,,,,,,,,,
中文名稱,豆瓣綠,英文名稱,peperomia,,,,,,,,,,
中文名稱,鏡面草,英文名稱,roundleaf pilea,,,,,,,,,,
中文名稱,六月雪,英文名稱,snow of June,,,,,,,,,,
中文名稱,佛肚竹,英文名稱,buddha bamboo,,,,,,,,,,
中文名稱,魚尾葵,英文名稱,fishtail palm,,,,,,,,,,
中文名稱,蒲葵,英文名稱,Chinese fan-palm,,,,,,,,,,
中文名稱,棕櫚,英文名稱,palm,,,,,,,,,,
中文名稱,棕竹,英文名稱,lady palm,,,,,,,,,,
